""	"FLID"	"Order"	"BGL"	"BGD"	"LGL"	"LGD"
"132"	366	2	NA	"Substance Use/Abuse"	NA	NA
"133"	366	3	NA	"Substance Use/Abuse"	NA	NA
"134"	375	1	NA	NA	"People"	"Morality"
"135"	375	2	NA	NA	NA	NA
"136"	375	3	NA	NA	NA	NA
"137"	375	4	NA	NA	NA	NA
"138"	375	5	NA	NA	NA	NA
"139"	376	3	NA	NA	NA	NA
"140"	376	4	NA	NA	NA	NA
"141"	404	2	NA	NA	NA	NA
"142"	404	3	NA	NA	NA	NA
"143"	404	4	NA	NA	NA	NA
"144"	410	2	NA	"Substance Use/Abuse"	NA	NA
"145"	410	3	NA	NA	NA	NA
"146"	410	4	NA	NA	NA	NA
"147"	410	5	NA	NA	NA	NA
"148"	418	1	NA	NA	NA	NA
"149"	418	2	NA	NA	NA	NA
"150"	418	3	NA	NA	NA	NA
"151"	418	4	NA	NA	NA	NA
"152"	418	5	NA	NA	NA	NA
"153"	420	3	NA	NA	NA	NA
"154"	456	2	NA	NA	NA	"Morality"
"155"	456	3	NA	NA	NA	NA
"156"	472	1	NA	NA	"People"	"Morality"
"157"	472	2	NA	NA	NA	"Morality"
"158"	472	3	NA	NA	NA	"Morality"
"159"	472	4	NA	NA	NA	NA
"160"	473	2	NA	"Ritual"	NA	NA
"161"	473	3	NA	NA	NA	NA
"162"	473	4	NA	NA	NA	NA
"163"	505	3	NA	NA	NA	NA
"164"	505	4	NA	NA	NA	NA
"165"	505	5	NA	NA	NA	NA
"166"	543	2	NA	NA	NA	NA
"167"	543	3	NA	NA	NA	NA
"168"	543	4	NA	NA	NA	NA
"169"	563	3	NA	NA	NA	NA
"170"	563	4	NA	NA	NA	NA
"171"	564	2	NA	NA	NA	NA
"172"	564	3	NA	NA	NA	NA
"173"	564	4	NA	NA	NA	NA
"174"	571	1	NA	NA	"Miscellaneous"	"Morality"
"175"	571	2	NA	NA	NA	"Morality"
"176"	571	3	NA	NA	NA	NA
"177"	571	4	NA	NA	NA	NA
"178"	578	2	NA	NA	NA	NA
"179"	578	3	NA	NA	NA	NA
"180"	578	4	NA	NA	NA	NA
"181"	588	1	NA	NA	NA	NA
"182"	588	2	NA	NA	NA	NA
"183"	588	3	NA	NA	NA	NA
"184"	588	4	NA	NA	NA	NA
"185"	612	2	NA	NA	NA	NA
"186"	612	3	NA	NA	NA	NA
"187"	612	4	NA	NA	NA	NA
"188"	612	5	NA	NA	NA	NA
"189"	676	3	NA	NA	NA	NA
"190"	676	4	NA	NA	NA	NA
"191"	726	3	NA	NA	NA	NA
"192"	726	4	NA	NA	NA	NA
"193"	742	1	NA	NA	NA	NA
"194"	742	2	NA	NA	NA	NA
"195"	742	3	NA	NA	NA	NA
"196"	742	4	NA	NA	NA	NA
"197"	751	4	NA	NA	NA	NA
"198"	1029	1	NA	NA	"D/K"	"D/K"
"199"	1029	2	NA	NA	NA	NA
"200"	1029	3	NA	NA	NA	NA
"201"	1029	4	NA	NA	NA	NA
"202"	1095	2	NA	NA	NA	NA
"203"	1095	3	NA	NA	NA	NA
"204"	1107	3	NA	"Morality"	NA	NA
"205"	1107	4	NA	"Etiquette"	NA	NA
"206"	1123	2	NA	NA	NA	NA
"207"	1123	3	NA	NA	NA	NA
"208"	1123	4	NA	NA	NA	NA
"209"	1601	3	NA	NA	NA	NA
"210"	1601	4	NA	NA	NA	NA
"211"	1601	5	NA	NA	NA	NA
"212"	1667	3	NA	NA	NA	NA
"213"	1667	4	NA	NA	NA	NA
"214"	1698	2	NA	NA	NA	NA
"215"	1698	3	NA	NA	NA	NA
"216"	1698	4	NA	NA	NA	NA
"217"	1698	5	NA	NA	NA	NA
"218"	1730	1	NA	NA	"D/K"	"D/K"
"219"	1730	2	NA	NA	NA	NA
"220"	1730	3	NA	NA	NA	NA
"221"	1730	4	NA	NA	NA	NA
"222"	1776	3	NA	"Morality"	NA	"Morality"
"223"	1776	4	NA	NA	NA	NA
"224"	1776	5	NA	NA	NA	NA
"225"	1862	3	"People"	NA	NA	NA
"226"	6036	2	"People"	"Morality"	"People"	"Morality"
"227"	6043	1	"People"	"Morality"	"People"	"Morality"
"228"	88888	1	"People"	"Morality"	NA	NA
"229"	121212	1	"People"	"Morality"	NA	NA
"230"	131313	1	"People"	"Morality"	"People"	"Morality"
"231"	64	2	"People"	NA	NA	NA
"232"	83	2	"People"	"Virtue"	"Virtue"	"Virtue"
"233"	83	3	"People"	"Morality"	NA	"Morality"
"234"	237	1	"People"	"Substance Use/Abuse"	"People"	"Substance Use/Abuse"
"235"	292	1	"People"	"Ritual"	"People"	"Ritual"
"236"	308	3	"People"	"Morality"	"People"	"Morality"
"237"	337	1	"People"	"Morality"	NA	NA
"238"	376	1	"People"	"Morality"	NA	NA
"239"	376	2	"People"	"Morality"	NA	NA
"240"	410	1	"People"	"Morality"	NA	NA
"241"	420	1	"People"	"Morality"	"People"	"Morality"
"242"	420	2	"People"	"Morality"	"People"	"Morality"
"243"	563	1	"People"	"Morality"	NA	NA
"244"	676	1	"People"	"Morality"	"People"	"Morality"
"245"	726	2	"People"	NA	"People"	NA
"246"	751	2	"People"	"Substance Use/Abuse"	NA	NA
"247"	1071	4	"People"	NA	NA	"Substance Use/Abuse"
"248"	1601	1	"People"	"Morality"	"People"	"Morality"
"249"	1667	1	"People"	"Virtue"	"People"	"Virtue"
"250"	6036	3	"Ritual"	"Morality"	"Ritual"	"Morality"
"251"	88888	3	"Ritual"	"Morality"	NA	NA
"252"	64	1	"Ritual"	"Ritual"	"D/K"	"D/K"
"253"	72	2	"Ritual"	"Substance Use/Abuse"	"Ritual"	"Substance Use/Abuse"
"254"	156	1	"Ritual"	"Morality"	"Ritual"	"Morality"
"255"	156	2	"Ritual"	"Morality"	"Ritual"	"Morality"
"256"	239	1	"Ritual"	"Morality"	"Ritual"	"Morality"
"257"	239	2	"Ritual"	NA	NA	NA
"258"	258	1	"Ritual"	"Morality"	"Ritual"	"Morality"
"259"	308	1	"Ritual"	"Ritual"	"Ritual"	"Ritual"
"260"	308	2	"Ritual"	"Morality"	"Ritual"	"Morality"
"261"	329	1	"Ritual"	"Substance Use/Abuse"	"Ritual"	"Morality"
"262"	505	1	"Ritual"	"Morality"	"Ritual"	"Morality"
"263"	505	2	"Ritual"	NA	"Ritual"	NA
"264"	676	2	"Ritual"	"Substance Use/Abuse"	"Food"	"Substance Use/Abuse"
"265"	1071	2	"Ritual"	"Morality"	"People"	"Morality"
"266"	1601	2	"Ritual"	"Morality"	NA	NA
"267"	1698	1	"Ritual"	"D/K"	NA	NA
"268"	191919	1	"Specific"	"D/K"	"D/K"	"D/K"
"269"	1862	2	"Virtue"	NA	NA	NA
"270"	2182	1	"Virtue"	"Morality"	NA	NA
"271"	2182	2	"Virtue"	"Morality"	NA	NA
"272"	6015	1	"Virtue"	"Religion"	"Virtue"	"Religion"
"273"	88888	2	"Virtue"	"Morality"	NA	NA
"274"	101010	1	"Virtue"	"Morality"	"Virtue"	"Morality"
"275"	121212	2	"Virtue"	"Substance Use/Abuse"	NA	NA
"276"	121212	3	"Virtue"	"Morality"	NA	NA
"277"	72	1	"Virtue"	"Substance Use/Abuse"	"Virtue"	"Substance Use/Abuse"
"278"	83	1	"Virtue"	"Morality"	"People"	"Morality"
"279"	156	3	"Virtue"	"Morality"	"Virtue"	"Morality"
"280"	308	4	"Virtue"	NA	"Virtue"	NA
"281"	366	1	"Virtue"	"Substance Use/Abuse"	NA	NA
"282"	563	2	"Virtue"	NA	NA	NA
"283"	612	1	"Virtue"	"Virtue"	"Virtue"	"Virtue"
"284"	751	1	"Virtue"	"Morality"	NA	NA
"285"	1107	1	"Virtue"	"Morality"	NA	NA
"286"	1107	2	"Virtue"	"Morality"	NA	NA
"287"	1667	2	"Virtue"	"Morality"	"Virtue"	"Morality"
"288"	1776	2	"Virtue"	"Morality"	"Virtue"	"Morality"
